sentence,citation_sentence,title,citation,quote
"In undertaking this inquiry, a court should assess harm to ""traditional, reasonable, or likely to be developed markets.""","Am. Geophysical Union v. Texaco Inc., 60 F.3d 913, 930 (2d Cir. 1994).","Am. Geophysical Union v. Texaco Inc.,",60 F.3d 913,"traditional, reasonable, or likely to be developed markets."
"As the Second Circuit has explained, ""[p]aradigmatic examples of derivative works include the translation of a novel into another language, the adaptation of a novel into a movie or play, or the recasting of a novel as an e-book or an audiobook.""","Authors Guild, Inc. v. HathiTrust, 755 F.3d 87, 95 (2d Cir. 2014).","Authors Guild, Inc. v. HathiTrust,",755 F.3d 87,"Paradigmatic examples of derivative works include the translation of a novel into another language, the adaptation of a novel into a movie or play, or the recasting of a novel as an e-book or an audiobook."
"The principal concern behind the commercial nature inquiry is ""the unfairness that arises when a secondary user makes unauthorized use of copyrighted material to capture significant revenues as a direct consequence of copying the original work.""","Am. Geophysical Union v. Texaco Inc., 60 F.3d 913, 922 (2d Cir. 1994).","Am. Geophysical Union v. Texaco Inc.,",60 F.3d 913,the unfairness that arises when a secondary user makes unauthorized use of copyrighted material to capture significant revenues as a direct consequence of copying the original work.
"Thus, fair use should not be found ""when the secondary use can fairly be characterized as a form of ‘commercial exploitation,’ i.e., when the copier directly and exclusively acquires conspicuous financial rewards from its use of the copyrighted material.""","Am. Geophysical Union v. Texaco Inc., 60 F.3d 913, 922 (2d Cir. 1994).","Am. Geophysical Union v. Texaco Inc.,",60 F.3d 913,"when the secondary use can fairly be characterized as a form of ‘commercial exploitation,’ i.e., when the copier directly and exclusively acquires conspicuous financial rewards from its use of the copyrighted material."
"Copyright law is compatible with the First Amendment only because of two ""built-in First Amendment accommodations""—the idea/expression dichotomy (which is not at issue here) and fair use.","Eldred v. Ashcroft, 537 U.S. 186, 219 (2003).","Eldred v. Ashcroft,",537 U.S. 186,built-in First Amendment accommodations
"Copyright law is compatible with the First Amendment only because of two ""built-in First Amendment accommodations""—the idea/expression dichotomy (which is not at issue here) and fair use.","Eldred v. Ashcroft, 537 U.S. 186, 219 (2003).","Eldred v. Ashcroft,",537 U.S. 186,built-in First Amendment accommodations
"The Second Circuit has correctly noted that ""the more the copying is done to achieve a purpose that differs from the purpose of the original, the less likely it is that the copy will serve as a satisfactory substitute for the original.""","Authors Guild v. Google, Inc., 804 F.3d 202, 223 (2d Cir. 2015).","Authors Guild v. Google, Inc.,",804 F.3d 202,"the more the copying is done to achieve a purpose that differs from the purpose of the original, the less likely it is that the copy will serve as a satisfactory substitute for the original."
"This includes the impact a defendant’s uses could have on all of the plaintiff’s ""traditional, reasonable, or likely to be developed markets.""","Am. Geophysical Union v. Texaco Inc., 60 F.3d 913, 930 (2d Cir. 1994).","Am. Geophysical Union v. Texaco Inc.,",60 F.3d 913,"traditional, reasonable, or likely to be developed markets."
"As this Court has observed, it ""would be a dangerous undertaking for persons trained only to the law to constitute themselves final judges of the worth of pictorial illustrations, outside of the narrowest and most obvious limits.""","Bleistein v. Donaldson Lithographing Co., 188 U.S. 239, 251 (1903).","Bleistein v. Donaldson Lithographing Co.,",188 U.S. 239,"would be a dangerous undertaking for persons trained only to the law to constitute themselves final judges of the worth of pictorial illustrations, outside of the narrowest and most obvious limits."
"Depending on the content of a given photograph, these may include originality in ""such artistic elements as the particular lighting, the resulting skin tone of the subject, and the camera angle.""","Leibovitz v. Paramount Pictures Corp., 137 F.3d 109, 116 (2d Cir. 1998).","Leibovitz v. Paramount Pictures Corp.,",137 F.3d 109,"such artistic elements as the particular lighting, the resulting skin tone of the subject, and the camera angle."
"Compare Cariou 2 For example, in Blanch v. Koons, the court’s decision was influenced by Jeff Koons’s testimony: ""Koons is, by his own undisputed description, using Blanch’s image as fodder for his commentary on the social and aesthetic consequences of mass media.""","Blanch v. Koons, 467 F.3d 244, 253 (2d Cir. 2006).","Blanch v. Koons,",467 F.3d 244,"Koons is, by his own undisputed description, using Blanch’s image as fodder for his commentary on the social and aesthetic consequences of mass media."
"In both the copyright and patent 7 Notably, courts engaging in an obviousness inquiry may also turn to ""secondary considerations,"" like how an invention is received in the marketplace, as evidence of whether an invention was obvious.","Graham v. John Deere Co. of Kan. City, 383 U.S. 1, 17 (1966).","Graham v. John Deere Co. of Kan. City,",383 U.S. 1,"secondary considerations,"
"""It is not the courts' place to substitute our evaluations for those of the jurors.""","Union Oil Co. of Cal. v. Terrible Herbst, Inc. , 331 F.3d 735, 743 (9th Cir. 2003).","Union Oil Co. of Cal. v. Terrible Herbst, Inc. ,",331 F.3d 735,It is not the courts' place to substitute our evaluations for those of the jurors.
"""Under Rule 50 , a party must make a Rule 50(a) motion for judgment as a matter of law before a case is submitted to the jury.""","E.E.O.C. v. Go Daddy Software, Inc. , 581 F.3d 951, 961 (9th Cir. 2009).","E.E.O.C. v. Go Daddy Software, Inc. ,",581 F.3d 951,"Under Rule 50 , a party must make a Rule 50(a) motion for judgment as a matter of law before a case is submitted to the jury."
"The Gayes urge us to adopt the Federal Circuit's holding that ""there can only be one prevailing party in a given case"" for purposes of Rule 54(d)(1) .","Shum v. Intel Corp. , 629 F.3d 1360, 1367 (Fed. Cir. 2010).","Shum v. Intel Corp. ,",629 F.3d 1360,there can only be one prevailing party in a given case
"We held, in a case in which a party made an oral Rule 50(a) motion, but failed to renew its motion, that the party ""waived its challenge to the sufficiency of the evidence because it did not renew its pre-verdict Rule 50(a) motion by filing a post-verdict Rule 50(b) motion.""","Nitco Holding Corp. v. Boujikian , 491 F.3d 1086, 1089 (9th Cir. 2007).","Nitco Holding Corp. v. Boujikian ,",491 F.3d 1086,waived its challenge to the sufficiency of the evidence because it did not renew its pre-verdict Rule 50(a) motion by filing a post-verdict Rule 50(b) motion.
"A completed trial does not prevent us from reviewing the denial of summary judgment ""where the district court made an error of law that, if not made, would have required the district court to grant the motion.""","Escriba v. Foster Poultry Farms, Inc. , 743 F.3d 1236, 1243 (9th Cir. 2014).","Escriba v. Foster Poultry Farms, Inc. ,",743 F.3d 1236,"where the district court made an error of law that, if not made, would have required the district court to grant the motion."
"This Court has stated that ""[e]ven if a copied portion be relatively small in proportion to the entire work, if qualitatively important, the finder of fact may properly find substantial similarity.""","Baxter v. MCA, Inc., 812 F.2d 421, 425 (9th Cir. 1987).","Baxter v. MCA, Inc.,",812 F.2d 421,"Even if a copied portion be relatively small in proportion to the entire work, if qualitatively important, the finder of fact may properly find substantial similarity."
"Access Proof of access requires ""an opportunity to view or to copy plaintiff's work.""","Sid and Marty Krofft Television Prods., Inc. v. McDonald's Corp., 562 F.2d 1157, 1172 (9th Cir. 1977).","Sid and Marty Krofft Television Prods., Inc. v. McDonald's Corp.,",562 F.2d 1157,an opportunity to view or to copy plaintiff's work.
"However, on summary judgment, ""only the extrinsic test is relevant,"" because a plaintiff avoids summary judgment by satisfying it.","Smith v. Jackson, 84 F.3d 1213, 1218 (9th Cir. 1996).","Smith v. Jackson,",84 F.3d 1213,"only the extrinsic test is relevant,"
"""General plot ideas are not protected by copyright law; they remain forever the common property of artistic mankind.""","Berkic v. Crichton, 761 F.2d 1289, 1293 (9th Cir. 1985).","Berkic v. Crichton,",761 F.2d 1289,General plot ideas are not protected by copyright law; they remain forever the common property of artistic mankind.
"Nor does copyright law protect ""scenes a faire,"" or scenes that flow naturally from unprotectable basic plot premises.","Berkic v. Crichton, 761 F.2d 1289, 1293 (9th Cir. 1985).","Berkic v. Crichton,",761 F.2d 1289,"scenes a faire,"
"The district court concluded that it ""need not address"" the merits of Ms. Goldsmith's infringement claim because the Foundation could prevail at summary judgment on its affirmative defense of fair use.","382 F.Supp.3d 312, 324 (SDNY 2019).",,382 F.Supp.3d 312,need not address
"""All allegations of material fact are taken as true and construed in the light most favorable to the nonmoving party.""","Sprewell v. Golden State Warriors , 266 F.3d 979, 988 (9th Cir. 2001).","Sprewell v. Golden State Warriors ,",266 F.3d 979,All allegations of material fact are taken as true and construed in the light most favorable to the nonmoving party.
"However, we've also held that ""the Paris Convention was not intended to define the substantive law in the area of 'unfair competition' of the signatory countries.""","Kemart Corp. v. Printing Arts Research Labs., Inc., 269 F.2d 375, 389 (9th Cir. 1959).","Kemart Corp. v. Printing Arts Research Labs., Inc.,",269 F.2d 375,the Paris Convention was not intended to define the substantive law in the area of 'unfair competition' of the signatory countries.
"""[A] court need not find that an infringer acted maliciously to find willful infringement.""","Fitzgerald Pub. Co., Inc. v. Baylor Pub. Co., Inc., 807 F.2d 1110, 1115 (2d Cir. 1986).","Fitzgerald Pub. Co., Inc. v. Baylor Pub. Co., Inc.,",807 F.2d 1110,a court need not find that an infringer acted maliciously to find willful infringement.
"In other words, the substantiality factor ""has both a quantitative and a qualitative element to it.""","Wright v. Warner Books, 953 F.2d 731, 738 (2d Cir. 1991).","Wright v. Warner Books,",953 F.2d 731,has both a quantitative and a qualitative element to it.
"The most fundamental axiom of copyright law is that ""[n]o author may copyright his ideas or the facts he narrates.""","Harper Row , Publishers, Inc . v. Nation Enterprises , 471 U.S. 539, 556 (1985).","Harper Row , Publishers, Inc . v. Nation Enterprises ,",471 U.S. 539,No author may copyright his ideas or the facts he narrates.
"It is the very ""premise of copyright law.""","Miller v. Universal City Studios , Inc. , 650 F.2d 1365, 1368 (CA5 1981).","Miller v. Universal City Studios , Inc. ,",650 F.2d 1365,premise of copyright law.
"More than a century ago, the Court observed: ""The very object of publishing a book on science or the useful arts is to communicate to the world the useful knowledge which it contains. But this object would be frustrated if the knowledge could not be used without incurring the guilt of piracy of the book.""","Baker v. Selden , 101 U.S. 99, 103 (1880).","Baker v. Selden ,",101 U.S. 99,The very object of publishing a book on science or the useful arts is to communicate to the world the useful knowledge which it contains. But this object would be frustrated if the knowledge could not be used without incurring the guilt of piracy of the book.
"Originality is a very low bar, requiring ""only a minimal amount of creativity.""","Kay Berry, Inc. v. Taylor Gifts, Inc. , 421 F.3d 199, 207 (3d Cir. 2005).","Kay Berry, Inc. v. Taylor Gifts, Inc. ,",421 F.3d 199,only a minimal amount of creativity.
"Notably, merger ""is most applicable where the idea and the expression are of items found in nature, or are found commonly in everyday life.""","Yankee Candle Co. v. Bridgewater Candle Co. , 259 F.3d 25, 36 (1st Cir. 2001).","Yankee Candle Co. v. Bridgewater Candle Co. ,",259 F.3d 25,"is most applicable where the idea and the expression are of items found in nature, or are found commonly in everyday life."
"This is accomplished by ""breaking the works down into their constituent elements, and comparing those elements"" to determine whether they are substantially similar.","Swirsky v. Carey , 376 F.3d 841, 845 (9th Cir. 2004).","Swirsky v. Carey ,",376 F.3d 841,"breaking the works down into their constituent elements, and comparing those elements"
"The Ninth Circuit has developed a multi-part test to evaluate Desny claims, asking whether (1) the plaintiff prepared or created the work in question, (2) the work was disclosed to the defendant for sale, and (3) the disclosure was made ""under circumstances from which it could be concluded that the offeree voluntarily accepted the disclosure knowing the conditions on which it was tendered and the reasonable value of the work.""","Grosso v. Miramax Film Corp. , 383 F.3d 965, 967 (9th Cir. 2004).","Grosso v. Miramax Film Corp. ,",383 F.3d 965,under circumstances from which it could be concluded that the offeree voluntarily accepted the disclosure knowing the conditions on which it was tendered and the reasonable value of the work.
"""These two formulations represent two points on a sliding scale in which the required degree of irreparable harm increases as the probability of success decreases.""","Prudential Real Estate Affiliates, Inc. v. PPR Realty, Inc., 204 F.3d 867, 874 (9th Cir. 2000).","Prudential Real Estate Affiliates, Inc. v. PPR Realty, Inc.,",204 F.3d 867,These two formulations represent two points on a sliding scale in which the required degree of irreparable harm increases as the probability of success decreases.
"Put differently, liability exists if the defendant engages in ""personal conduct that encourages or assists the infringement.""","Matthew Bender Co. v. West Publ'g Co., 158 F.3d 693, 706 (2d Cir. 1998).","Matthew Bender Co. v. West Publ'g Co.,",158 F.3d 693,personal conduct that encourages or assists the infringement.
"First, ""[u]nder the plain meaning of the Act's definition of digital audio recording devices, computers (and their hard drives) are not digital audio recording devices because their `primary purpose' is not to make digital audio copied recordings.""","Recording Indus. Ass'n of Am. v. Diamond Multimedia Sys., Inc., 180 F.3d 1072, 1078 (9th Cir. 1999).","Recording Indus. Ass'n of Am. v. Diamond Multimedia Sys., Inc.,",180 F.3d 1072,"Under the plain meaning of the Act's definition of digital audio recording devices, computers (and their hard drives) are not digital audio recording devices because their `primary purpose' is not to make digital audio copied recordings."
"A. Waiver ""Waiver is the intentional relinquishment of a known right with knowledge of its existence and the intent to relinquish it.""","United States v. King Features Entm't, Inc., 843 F.2d 394, 399 (9th Cir. 1988).","United States v. King Features Entm't, Inc.,",843 F.2d 394,Waiver is the intentional relinquishment of a known right with knowledge of its existence and the intent to relinquish it.
"The Second Circuit has noted, for example, that to qualify as a service provider for purposes of § 512(a), an entity must be a mere ""conduit.""","Viacom Int'l, Inc. v. YouTube, Inc ., 676 F.3d 19, 39 (2d Cir. 2012).","Viacom Int'l, Inc. v. YouTube, Inc .,",676 F.3d 19,conduit.
"The remedies for infringement ""are only those prescribed by Congress.""","Thompson v. Hubbard , 131 U.S. 123, 151 (1889).","Thompson v. Hubbard ,",131 U.S. 123,are only those prescribed by Congress.
"These cases deny the patentee any right to control the distribution of unpatented articles unless they are ""unsuited for any commercial noninfringing use.""","Dawson Chemical Co . v. Rohm Hass Co. , 448 U.S. 176, 198 (1980).","Dawson Chemical Co . v. Rohm Hass Co. ,",448 U.S. 176,unsuited for any commercial noninfringing use.
"As we noted last Term: ""[This] limited grant is a means by which an important public purpose may be achieved. It is intended to motivate the creative activity of authors and inventors by the provision of a special reward, and to allow the public access to the products of their genius after the limited period of exclusive control has expired.""","Sony Corp. of America v. Universal City Studios, Inc. , 464 U.S. 417, 429 (1984).","Sony Corp. of America v. Universal City Studios, Inc. ,",464 U.S. 417,"tis] limited grant is a means by which an important public purpose may be achieved. It is intended to motivate the creative activity of authors and inventors by the provision of a special reward, and to allow the public access to the products of their genius after the limited period of exclusive control has expired."
"""The monopoly created by copyright thus rewards the individual author in order to benefit the public.""","Sony Corp. of America v. Universal City Studios, Inc. , 464 U.S. 417, 429 (1984).","Sony Corp. of America v. Universal City Studios, Inc. ,",464 U.S. 417,The monopoly created by copyright thus rewards the individual author in order to benefit the public.
"As this Court long ago observed: ""[T]he news element — the information respecting current events contained in the literary production — is not the creation of the writer, but is a report of matters that ordinarily are publici juris; it is the history of the day.""","International News Service v. Associated Press , 248 U.S. 215, 234 (1918).","International News Service v. Associated Press ,",248 U.S. 215,"the news element — the information respecting current events contained in the literary production — is not the creation of the writer, but is a report of matters that ordinarily are publici juris; it is the history of the day."
"The fair use defense ""permits courts to avoid rigid application of the copyright statute when, on occasion, it would stifle the very creativity which that law is designed to foster.""","Iowa State Univ. Research Found., Inc. v. American Broadcasting Cos., 621 F.2d 57, 60 (2d Cir. 1980).","Iowa State Univ. Research Found., Inc. v. American Broadcasting Cos.,",621 F.2d 57,"permits courts to avoid rigid application of the copyright statute when, on occasion, it would stifle the very creativity which that law is designed to foster."
"""In assessing whether particular works are substantially similar, or strikingly similar, this Circuit applies a two-part analysis: the extrinsic test and the intrinsic test.""","Unicolors, Inc. v. Urban Outfitters, Inc. , 853 F.3d 980, 985 (9th Cir. 2017).","Unicolors, Inc. v. Urban Outfitters, Inc. ,",853 F.3d 980,"In assessing whether particular works are substantially similar, or strikingly similar, this Circuit applies a two-part analysis: the extrinsic test and the intrinsic test."
"""The extrinsic test requires plaintiffs to show overlap of concrete elements based on objective criteria.""","Unicolors, Inc. v. Urban Outfitters, Inc. , 853 F.3d 980, 985 (9th Cir. 2017).","Unicolors, Inc. v. Urban Outfitters, Inc. ,",853 F.3d 980,The extrinsic test requires plaintiffs to show overlap of concrete elements based on objective criteria.
"This analysis requires a balancing of ""the benefit the public will derive if the use is permitted and the personal gain the copyright owner will receive if the use is denied.""","MCA, Inc. v. Wilson, 677 F.2d 180, 183 (2d Cir. 1981).","MCA, Inc. v. Wilson,",677 F.2d 180,the benefit the public will derive if the use is permitted and the personal gain the copyright owner will receive if the use is denied.
"The process by which the webpage directs a user's browser to incorporate content from different computers into a single window is referred to as ""in-line linking.""","Kelly v. Arriba Soft Corp., 336 F.3d 811, 816 (9th Cir.2003).","Kelly v. Arriba Soft Corp.,",336 F.3d 811,in-line linking.
"Nor was a broadcaster's simple retransmission of a radio broadcast over telephone lines transformative, where the original radio shows were given no ""new expression, meaning, or message.""","Infinity Broad. Corp. v. Kirkwood, 150 F.3d 104, 108 (2d Cir.1998).","Infinity Broad. Corp. v. Kirkwood,",150 F.3d 104,"new expression, meaning, or message."
"""Others are free to utilize the `idea' so long as they do not plagiarize its `expression.'""","Herbert Rosenthal Jewelry Corp. v. Kalpakian, 446 F.2d 738, 741 (9th Cir. 1971).","Herbert Rosenthal Jewelry Corp. v. Kalpakian,",446 F.2d 738,Others are free to utilize the `idea' so long as they do not plagiarize its `expression.'
"By denying protection to an expression that is merged with its underlying idea, we ""prevent an author from monopolizing an idea merely by copyrighting a few expressions of it.""","Toro Co. v. R R Products Co., 787 F.2d 1208, 1212 (8th Cir. 1986).","Toro Co. v. R R Products Co.,",787 F.2d 1208,prevent an author from monopolizing an idea merely by copyrighting a few expressions of it.
"Fair Use and Parody The fair use doctrine ""permits other people to use copyrighted material without the owner's consent in a reasonable manner for certain purposes.""","Rogers v. Koons, 960 F.2d 301, 308 (2d Cir. 1992).","Rogers v. Koons,",960 F.2d 301,permits other people to use copyrighted material without the owner's consent in a reasonable manner for certain purposes.
"As Judge Hand candidly observed, ""Obviously, no principle can be stated as to when an imitator has gone beyond copying the `idea,' and has borrowed its `expression.' Decisions must therefore inevitably be ad hoc.""","Peter Pan Fabrics, Inc. v. Martin Weiner Corp., 274 F.2d 487, 489 (2 Cir. 1960).","Peter Pan Fabrics, Inc. v. Martin Weiner Corp.,",274 F.2d 487,"Obviously, no principle can be stated as to when an imitator has gone beyond copying the `idea,' and has borrowed its `expression.' Decisions must therefore inevitably be ad hoc."
"And, as Judge Learned Hand put it, copyright ""cannot be limited literally to the text, else a plagiarist would escape by immaterial variations.""","Nichols v. Universal Pictures Corp., 45 F.2d 119, 121 (2 Cir. 1930).","Nichols v. Universal Pictures Corp.,",45 F.2d 119,"cannot be limited literally to the text, else a plagiarist would escape by immaterial variations."
"They have captured the ""total concept and feel"" of the Pufnstuf show.","Roth Greeting Cards v. United Card Co., 429 F.2d 1106, 1110 (9 Cir. 1970).","Roth Greeting Cards v. United Card Co.,",429 F.2d 1106,total concept and feel
"""[F]reedom to travel throughout the United States has long been recognized as a basic right under the Constitution.""","United States v. Guest , 383 U.S. 745, 758 (1966).","United States v. Guest ,",383 U.S. 745,freedom to travel throughout the United States has long been recognized as a basic right under the Constitution.
"If it acts at all, it must choose ""less drastic means.""","Shelton v. Tucker , 364 U.S. 479, 488 (1960).","Shelton v. Tucker ,",364 U.S. 479,less drastic means.
"In determining whether the State has power to place such unequal burdens on minority groups where rights of this kind are at stake, the decisions of this Court have consistently held that ""only a compelling state interest in the regulation of a subject within the State's constitutional power to regulate can justify limiting First Amendment freedoms.""","NAACP v. Button , 371 U.S. 415, 438 (1963).","NAACP v. Button ,",371 U.S. 415,only a compelling state interest in the regulation of a subject within the State's constitutional power to regulate can justify limiting First Amendment freedoms.
"Washington simply has not substantially burdened the ""availability of political opportunity.""","Lubin v. Panish , 415 U.S. 709, 716 (1974).","Lubin v. Panish ,",415 U.S. 709,availability of political opportunity.
"Under our reasoning in Duke v. Smith, Duke also has a procedural due process right to have his petition to be placed on the ballot to be free from a committee's ""unfettered discretion"" in rendering a decision.","Duke v. Smith, 13 F.3d 388, 395 (11th Cir. 1994).","Duke v. Smith,",13 F.3d 388,unfettered discretion
"""The right to associate with the political party of one's choice is an integral part of this basic constitutional freedom.""","Kusper v. Pontikes , 414 U.S. 51, 57 (1973).","Kusper v. Pontikes ,",414 U.S. 51,The right to associate with the political party of one's choice is an integral part of this basic constitutional freedom.
"B Appellant argues that § 9-431 is justified as a measure to prevent raiding, a practice ""whereby voters in sympathy with one party designate themselves as voters of another party so as to influence or determine the results of the other party's primary.""","Rosario v. Rockefeller , 410 U.S. 752, 760 (1973).","Rosario v. Rockefeller ,",410 U.S. 752,whereby voters in sympathy with one party designate themselves as voters of another party so as to influence or determine the results of the other party's primary.
"We thus look to whether the entire election mechanism, in its ""totality,"" unduly impairs a person's ability to become a candidate.","Arutunoff v. Oklahoma State Election Bd. , 687 F.2d 1375, 1379 (10th Cir. 1982).","Arutunoff v. Oklahoma State Election Bd. ,",687 F.2d 1375,"totality,"
"Accordingly, we look at the ""the practical effect of the election laws of a given state, viewed in their totality.""","Arutunoff v. Oklahoma State Election Bd. , 687 F.2d 1375, 1379 (10th Cir. 1982).","Arutunoff v. Oklahoma State Election Bd. ,",687 F.2d 1375,"the practical effect of the election laws of a given state, viewed in their totality."
"We have repeatedly noted that in order to establish Article III standing, ""[a] plaintiff must allege personal injury fairly traceable to the defendant's allegedly unlawful conduct and likely to be redressed by the requested relief.""","Allen v. Wright , 468 U.S. 737, 751 (1984).","Allen v. Wright ,",468 U.S. 737,A plaintiff must allege personal injury fairly traceable to the defendant's allegedly unlawful conduct and likely to be redressed by the requested relief.
"We have previously read this language as forbidding apportionment-related use of ""the statistical method known as `sampling.'""","Department of Commerce v. United States House of Representatives , 525 U.S. 316, 343 (1999).","Department of Commerce v. United States House of Representatives ,",525 U.S. 316,the statistical method known as `sampling.'
"Agency policymaking is not a ""rarified technocratic process, unaffected by political considerations or the presence of Presidential power.""","Sierra Club v. Costle , 657 F.2d 298, 408 (CADC 1981).","Sierra Club v. Costle ,",657 F.2d 298,"rarified technocratic process, unaffected by political considerations or the presence of Presidential power."
"III As Chief Justice Marshall proclaimed two centuries ago, ""[i]t is emphatically the province and duty of the judicial department to say what the law is.""","Marbury v. Madison, 1 Cranch 137, 177 (1803).","Marbury v. Madison,",1 Cranch 137,It is emphatically the province and duty of the judicial department to say what the law is.
"A districting plan may create multimember districts perfectly acceptable under equal population standards, but invidiously discriminatory because they are employed ""to minimize or cancel out the voting strength of racial or political elements of the voting population.""","Fortson v. Dorsey , 379 U.S. 433, 439 (1965).","Fortson v. Dorsey ,",379 U.S. 433,to minimize or cancel out the voting strength of racial or political elements of the voting population.
"In applying this standard, we, like any reviewing court, will not reverse a lower court's finding of fact simply because we ""would have decided the case differently.""","Anderson v. Bessemer City , 470 U.S. 564, 573 (1985).","Anderson v. Bessemer City ,",470 U.S. 564,would have decided the case differently.
"""[I]ssues not raised below are waived on appeal.""","Weigel v. Target Stores, 122 F.3d 461, 464 (7th Cir. 1997).","Weigel v. Target Stores,",122 F.3d 461,issues not raised below are waived on appeal.
"Some 90 years later, Alabama redefined the boundaries of the city of Tuskegee ""from a square to an uncouth twenty-eight-sided figure"" in a manner that was alleged to exclude black voters, and only black voters, from the city limits.","Gomillion v. Lightfoot , 364 U.S. 339, 340 (1960).","Gomillion v. Lightfoot ,",364 U.S. 339,from a square to an uncouth twenty-eight-sided figure
"Under that principle, a proposed voting change cannot be precleared if it will lead to ""a retrogression in the position of racial minorities with respect to their effective exercise of the electoral franchise.""","Beer v. United States , 425 U.S. 130, 141 (1976).","Beer v. United States ,",425 U.S. 130,a retrogression in the position of racial minorities with respect to their effective exercise of the electoral franchise.
"A plaintiff ""prevails"" by receiving some relief on the merits of his claim.","Hewitt v. Helms , 482 U.S. 755, 760 (1987).","Hewitt v. Helms ,",482 U.S. 755,prevails
"And the ""law of the case"" rule forecloses relitigation of this issue.","United States v. Lee , 358 F.3d 315, 321 (5th Cir. 2004).","United States v. Lee ,",358 F.3d 315,law of the case
"To merit such relief, a movant ""must make a threshold showing that: (1) absent preliminary injunctive relief, he will suffer irreparable harm in the interim prior to a final resolution; (2) there is no adequate remedy at law; and (3) he has a reasonable likelihood of success on the merits.""","Turnell v. CentiMark Corp. , 796 F.3d 656, 662 (7th Cir. 2015).","Turnell v. CentiMark Corp. ,",796 F.3d 656,"must make a threshold showing that: (1) absent preliminary injunctive relief, he will suffer irreparable harm in the interim prior to a final resolution; (2) there is no adequate remedy at law; and (3) he has a reasonable likelihood of success on the merits."
"Then, if the movant makes this threshold showing, the court proceeds to consider the balance of harms between the parties and the effect of granting or denying a preliminary injunction on the ""public interest.""","Turnell v. CentiMark Corp. , 796 F.3d 656, 662 (7th Cir. 2015).","Turnell v. CentiMark Corp. ,",796 F.3d 656,public interest.
"We have stated that the Anderson / Burdick ""test applies to all First and Fourteenth Amendment challenges to state election laws.""","Acevedo v. Cook Cnty. Officers Electoral Bd. , 925 F.3d 944, 948 (7th Cir. 2019).","Acevedo v. Cook Cnty. Officers Electoral Bd. ,",925 F.3d 944,test applies to all First and Fourteenth Amendment challenges to state election laws.
"In the preliminary-injunction context, plaintiffs must make a ""clear showing"" of standing to maintain the injunction.","Barber v. Bryant , 860 F.3d 345, 352 (5th Cir. 2017).","Barber v. Bryant ,",860 F.3d 345,clear showing
